waktu,stasiun,AOD
2023-01-10 16:00:00,Kelapa Gading Indah,
2023-01-11 07:00:00,Slipi,
2023-01-11 07:00:00,Menteng,
2023-01-11 07:00:00,Jagakarsa,
2023-01-11 07:00:00,Jatinegara,
2023-01-11 07:00:00,Kelapa Gading Indah,
2023-01-11 08:00:00,Slipi,
2023-01-11 08:00:00,Menteng,
2023-01-11 08:00:00,Jagakarsa,
2023-01-11 08:00:00,Jatinegara,
2023-01-11 08:00:00,Kelapa Gading Indah,
2023-01-11 09:00:00,Slipi,
2023-01-11 09:00:00,Menteng,
2023-01-11 09:00:00,Jagakarsa,1.0307999849319458
2023-01-11 09:00:00,Jatinegara,
2023-01-11 09:00:00,Kelapa Gading Indah,
2023-01-11 10:00:00,Slipi,
2023-01-11 10:00:00,Menteng,
2023-01-11 10:00:00,Jagakarsa,
2023-01-11 10:00:00,Jatinegara,
2023-01-11 10:00:00,Kelapa Gading Indah,
2023-01-11 11:00:00,Slipi,
2023-01-11 11:00:00,Menteng,
2023-01-11 11:00:00,Jagakarsa,
2023-01-11 11:00:00,Jatinegara,
2023-01-11 11:00:00,Kelapa Gading Indah,
2023-01-11 12:00:00,Slipi,
2023-01-11 12:00:00,Menteng,
2023-01-11 12:00:00,Jagakarsa,
2023-01-11 12:00:00,Jatinegara,
2023-01-11 12:00:00,Kelapa Gading Indah,
2023-01-11 13:00:00,Slipi,
2023-01-11 13:00:00,Menteng,
2023-01-11 13:00:00,Jagakarsa,
2023-01-11 13:00:00,Jatinegara,
2023-01-11 13:00:00,Kelapa Gading Indah,
2023-01-11 14:00:00,Slipi,
2023-01-11 14:00:00,Menteng,
2023-01-11 14:00:00,Jagakarsa,
2023-01-11 14:00:00,Jatinegara,
2023-01-11 14:00:00,Kelapa Gading Indah,
2023-01-11 15:00:00,Slipi,
2023-01-11 15:00:00,Menteng,
2023-01-11 15:00:00,Jagakarsa,
2023-01-11 15:00:00,Jatinegara,
2023-01-11 15:00:00,Kelapa Gading Indah,
2023-01-11 16:00:00,Slipi,0.0013999999500811
2023-01-11 16:00:00,Menteng,
2023-01-11 16:00:00,Jagakarsa,
2023-01-11 16:00:00,Jatinegara,
2023-01-11 16:00:00,Kelapa Gading Indah,
2023-01-12 07:00:00,Slipi,
2023-01-12 07:00:00,Menteng,
2023-01-12 07:00:00,Jagakarsa,
2023-01-12 07:00:00,Jatinegara,
2023-01-12 07:00:00,Kelapa Gading Indah,
2023-01-12 08:00:00,Slipi,0.1503999978303909
2023-01-12 08:00:00,Menteng,0.206399992108345
2023-01-12 08:00:00,Jagakarsa,0.0529999993741512
2023-01-12 08:00:00,Jatinegara,0.1425999999046325
2023-01-12 08:00:00,Kelapa Gading Indah,0.5008000135421753
2023-01-12 09:00:00,Slipi,0.3625999987125397
2023-01-12 09:00:00,Menteng,0.3646000027656555
2023-01-12 09:00:00,Jagakarsa,
2023-01-12 09:00:00,Jatinegara,0.4259999990463257
2023-01-12 09:00:00,Kelapa Gading Indah,0.2768000066280365
2023-01-12 10:00:00,Slipi,
2023-01-12 10:00:00,Menteng,
2023-01-12 10:00:00,Jagakarsa,0.5335999727249146
2023-01-12 10:00:00,Jatinegara,
2023-01-12 10:00:00,Kelapa Gading Indah,
2023-01-12 11:00:00,Slipi,
2023-01-12 11:00:00,Menteng,
2023-01-12 11:00:00,Jagakarsa,
2023-01-12 11:00:00,Jatinegara,
2023-01-12 11:00:00,Kelapa Gading Indah,
2023-01-12 12:00:00,Slipi,
2023-01-12 12:00:00,Menteng,
2023-01-12 12:00:00,Jagakarsa,
2023-01-12 12:00:00,Jatinegara,
2023-01-12 12:00:00,Kelapa Gading Indah,0.861799955368042
2023-01-12 13:00:00,Slipi,
2023-01-12 13:00:00,Menteng,
2023-01-12 13:00:00,Jagakarsa,
2023-01-12 13:00:00,Jatinegara,
2023-01-12 13:00:00,Kelapa Gading Indah,
2023-01-12 14:00:00,Slipi,
2023-01-12 14:00:00,Menteng,0.6565999984741211
2023-01-12 14:00:00,Jagakarsa,
2023-01-12 14:00:00,Jatinegara,1.8881999254226685
2023-01-12 14:00:00,Kelapa Gading Indah,
2023-01-12 15:00:00,Slipi,
2023-01-12 15:00:00,Menteng,
2023-01-12 15:00:00,Jagakarsa,
2023-01-12 15:00:00,Jatinegara,
2023-01-12 15:00:00,Kelapa Gading Indah,
2023-01-12 16:00:00,Slipi,
2023-01-12 16:00:00,Menteng,
2023-01-12 16:00:00,Jagakarsa,
2023-01-12 16:00:00,Jatinegara,
2023-01-12 16:00:00,Kelapa Gading Indah,
2023-01-13 07:00:00,Slipi,
2023-01-13 07:00:00,Menteng,
2023-01-13 07:00:00,Jagakarsa,
2023-01-13 07:00:00,Jatinegara,
2023-01-13 07:00:00,Kelapa Gading Indah,
2023-01-13 08:00:00,Slipi,
2023-01-13 08:00:00,Menteng,
2023-01-13 08:00:00,Jagakarsa,
2023-01-13 08:00:00,Jatinegara,
2023-01-13 08:00:00,Kelapa Gading Indah,0.4917999804019928
2023-01-13 09:00:00,Slipi,
2023-01-13 09:00:00,Menteng,
2023-01-13 09:00:00,Jagakarsa,
2023-01-13 09:00:00,Jatinegara,
2023-01-13 09:00:00,Kelapa Gading Indah,
2023-01-13 10:00:00,Slipi,
2023-01-13 10:00:00,Menteng,
2023-01-13 10:00:00,Jagakarsa,0.5187999606132507
2023-01-13 10:00:00,Jatinegara,
2023-01-13 10:00:00,Kelapa Gading Indah,
2023-01-13 11:00:00,Slipi,
2023-01-13 11:00:00,Menteng,
2023-01-13 11:00:00,Jagakarsa,
2023-01-13 11:00:00,Jatinegara,
2023-01-13 11:00:00,Kelapa Gading Indah,
2023-01-13 12:00:00,Slipi,
2023-01-13 12:00:00,Menteng,
2023-01-13 12:00:00,Jagakarsa,
2023-01-13 12:00:00,Jatinegara,
2023-01-13 12:00:00,Kelapa Gading Indah,
2023-01-13 13:00:00,Slipi,
2023-01-13 13:00:00,Menteng,
2023-01-13 13:00:00,Jagakarsa,
